, 0
uvwx, 86
klmnopqrstuvw, 208
hijklmn, 70
defghijklmnopq, 133
abcdef, 15
bcdefghijklmnopqrs, 171
mnopqrstuv, 165
stuvw, 100
klmnopqrstuvwxy, 255
lm, 23
cdefgh, 27
cdefghijkl, 65
hij, 24
lmnop, 65
lmnopqrstuvwx, 221
vwxyz, 115
pqrstu, 105
opqrstuvw, 162
abcdefgh, 28
ijklm, 50
hijklmnopqrstuvw, 232
abcdefghijk, 55
xyz, 72
ghijklmnopqrstuvw, 238
jklmnopqrstuvw, 217
nopqrstuvwx, 198
efghijklmnopqrstuvw, 247
defghijklmnopqrs, 168
mn, 25
efghijklmnopqrstuvwxyz, 319
cdefghijklmnopqrstu, 209
fghijk, 45
ghi, 21
ghijklmnopqrstu, 195
defghijklmnopqrstuvwxy, 297
fghi, 26
cdefghij, 44
stuvwxy, 147
nopq, 58
mnopqrstuvwx, 210
vwxy, 90
efghijklmn, 85
bcdef, 15
wxy, 69
bcdefghij, 45
uvwxyz, 135
efghijklmnopqrstuvwx, 270
no, 27
klmnopqrst, 145
efghij, 39
efghijkl, 60
efghijklmnopqrstu, 204
lmnopqrstu, 155
lmnopqrstuvw, 198
fgh, 18
cdefghijklmnopqrstuvwxyz, 324
abcdefghijklmnopqrstuv, 231
rstuvw, 117
ghijklmn, 76
hijklmnopqr, 132
hijklmnop, 99
vwx, 66
cdefghijklmn, 90
hijklmnopqrst, 169
uvwxy, 110
defghi, 33
fghijkl, 56
op, 29
defghijklmnopqrstuvwx, 273
nopqrstuv, 153
abcde, 10
efg, 15
klmnopqrstu, 165
tuvwxyz, 154
abcdefghi, 36
hijklmnopqrstuvwxyz, 304
ijklmnop, 92
ghij, 30
abcdefghijklm, 78
stuvwx, 123
wxyz, 94
bcdefghijklmnopqrstu, 210
opqr, 62
uvw, 63
klmno, 60
lmnopqrstuvwxy, 245
mnopqrs, 105
defghijklm, 75
